[    1873ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://www.mulfai.com.ve/manifest.json:0
[    1873ms] [ERROR] Manifest fetch from https://www.mulfai.com.ve/manifest.json failed, code 404 @ https://www.mulfai.com.ve/:0
[    2146ms] [ERROR] WebSocket connection to 'wss://swioimqjygpolttiequz.supabase.co/realtime/v1/websocket?apikey=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJzdXBhYmFzZSIsInJlZiI6InN3aW9pbXFqeWdwb2x0dGllcXV6Iiwicm9sZSI6ImFub24iLCJpYXQiOjE3NzgyNDA5MTgsImV4cCI6MjA5MzgxNjkxOH0.Z14d_J0iwNdjcy6BunU2FSPtn-BzL1azSuzWTIIM65E%20&vsn=2.0.0' failed: HTTP Authentication failed; no valid credentials available @ https://www.mulfai.com.ve/_next/static/chunks/0.7y8c90cf4dk.js:5
[    2168ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://www.mulfai.com.ve/manifest.json:0
[    2208ms] [ERROR] Manifest fetch from https://www.mulfai.com.ve/manifest.json failed, code 404 @ https://www.mulfai.com.ve/:0
[    3374ms] [ERROR] WebSocket connection to 'wss://swioimqjygpolttiequz.supabase.co/realtime/v1/websocket?apikey=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJzdXBhYmFzZSIsInJlZiI6InN3aW9pbXFqeWdwb2x0dGllcXV6Iiwicm9sZSI6ImFub24iLCJpYXQiOjE3NzgyNDA5MTgsImV4cCI6MjA5MzgxNjkxOH0.Z14d_J0iwNdjcy6BunU2FSPtn-BzL1azSuzWTIIM65E%20&vsn=2.0.0' failed: HTTP Authentication failed; no valid credentials available @ https://www.mulfai.com.ve/_next/static/chunks/0.7y8c90cf4dk.js:5
[    5626ms] [ERROR] WebSocket connection to 'wss://swioimqjygpolttiequz.supabase.co/realtime/v1/websocket?apikey=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJzdXBhYmFzZSIsInJlZiI6InN3aW9pbXFqeWdwb2x0dGllcXV6Iiwicm9sZSI6ImFub24iLCJpYXQiOjE3NzgyNDA5MTgsImV4cCI6MjA5MzgxNjkxOH0.Z14d_J0iwNdjcy6BunU2FSPtn-BzL1azSuzWTIIM65E%20&vsn=2.0.0' failed: HTTP Authentication failed; no valid credentials available @ https://www.mulfai.com.ve/_next/static/chunks/0.7y8c90cf4dk.js:5
[   10868ms] [ERROR] WebSocket connection to 'wss://swioimqjygpolttiequz.supabase.co/realtime/v1/websocket?apikey=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJzdXBhYmFzZSIsInJlZiI6InN3aW9pbXFqeWdwb2x0dGllcXV6Iiwicm9sZSI6ImFub24iLCJpYXQiOjE3NzgyNDA5MTgsImV4cCI6MjA5MzgxNjkxOH0.Z14d_J0iwNdjcy6BunU2FSPtn-BzL1azSuzWTIIM65E%20&vsn=2.0.0' failed: HTTP Authentication failed; no valid credentials available @ https://www.mulfai.com.ve/_next/static/chunks/0.7y8c90cf4dk.js:5
[   21119ms] [ERROR] WebSocket connection to 'wss://swioimqjygpolttiequz.supabase.co/realtime/v1/websocket?apikey=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJzdXBhYmFzZSIsInJlZiI6InN3aW9pbXFqeWdwb2x0dGllcXV6Iiwicm9sZSI6ImFub24iLCJpYXQiOjE3NzgyNDA5MTgsImV4cCI6MjA5MzgxNjkxOH0.Z14d_J0iwNdjcy6BunU2FSPtn-BzL1azSuzWTIIM65E%20&vsn=2.0.0' failed: HTTP Authentication failed; no valid credentials available @ https://www.mulfai.com.ve/_next/static/chunks/0.7y8c90cf4dk.js:5
[   31541ms] [ERROR] WebSocket connection to 'wss://swioimqjygpolttiequz.supabase.co/realtime/v1/websocket?apikey=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJzdXBhYmFzZSIsInJlZiI6InN3aW9pbXFqeWdwb2x0dGllcXV6Iiwicm9sZSI6ImFub24iLCJpYXQiOjE3NzgyNDA5MTgsImV4cCI6MjA5MzgxNjkxOH0.Z14d_J0iwNdjcy6BunU2FSPtn-BzL1azSuzWTIIM65E%20&vsn=2.0.0' failed: HTTP Authentication failed; no valid credentials available @ https://www.mulfai.com.ve/_next/static/chunks/0.7y8c90cf4dk.js:5
[   41888ms] [ERROR] WebSocket connection to 'wss://swioimqjygpolttiequz.supabase.co/realtime/v1/websocket?apikey=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJzdXBhYmFzZSIsInJlZiI6InN3aW9pbXFqeWdwb2x0dGllcXV6Iiwicm9sZSI6ImFub24iLCJpYXQiOjE3NzgyNDA5MTgsImV4cCI6MjA5MzgxNjkxOH0.Z14d_J0iwNdjcy6BunU2FSPtn-BzL1azSuzWTIIM65E%20&vsn=2.0.0' failed: HTTP Authentication failed; no valid credentials available @ https://www.mulfai.com.ve/_next/static/chunks/0.7y8c90cf4dk.js:5
